variable,coefficient,clustered_std_error,t_statistic,p_value_normal
log_private_capital_per_capita,0.47316870521366317,0.078821447460689,6.003045115983804,1.9365078013240387e-09
log_government_capital_per_capita,0.13722128122694044,0.05790663508217238,2.369698757874925,0.01780258353990975
log_human_capital_index,0.5623625852411984,0.6401414347127091,0.8784973987718553,0.37967384872982957
log_tfp_index,0.6499972415313695,0.25087335700674585,2.5909377117072316,0.009571481403549185

